0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:28:26 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:32:19 +0900] "GET /board/list.do HTTP/1.1" 200 9823
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:32:19 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:32:46 +0900] "GET /board/list.do HTTP/1.1" 200 9836
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:32:46 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:32:49 +0900] "GET / HTTP/1.1" 200 11046
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:33:28 +0900] "GET / HTTP/1.1" 200 11046
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:34:06 +0900] "GET /board/list.do HTTP/1.1" 200 9836
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:34:06 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:34:08 +0900] "GET /free/list.do HTTP/1.1" 200 9129
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:34:08 +0900] "GET /free/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:34:33 +0900] "GET /free/list.do HTTP/1.1" 200 9135
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:34:33 +0900] "GET /free/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:39:11 +0900] "GET /board/list.do HTTP/1.1" 200 9853
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:39:11 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:39:13 +0900] "GET /board/detail.do?seq=7 HTTP/1.1" 200 9130
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:39:13 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:39:15 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:39:16 +0900] "GET /board/insert.do HTTP/1.1" 200 8928
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:39:17 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:39:20 +0900] "GET /member/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:39:20 +0900] "GET / HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:39:22 +0900] "GET /board/list.do HTTP/1.1" 200 9789
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:39:22 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:39:24 +0900] "GET /board/insert.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:39:24 +0900] "GET / HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:39:26 +0900] "GET /board/resources/css/normalize.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:40:50 +0900] "GET /sample/get1 HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:41:00 +0900] "GET /sample HTTP/1.1" 404 721
